state,abbr,population,qualifying_share,counted_population,counted_population_share_of_us,actual_house_2024,hypothetical_house,house_change,actual_ev_2024,hypothetical_ev,ev_change,fips,foreign_born_share,second_generation_proxy,third_plus_proxy,black_alone_share,old_stock_factor,fertility_factor,average_qualifying_ancestry,any_qualifying_ancestor_share,primary_qualifying_ancestry_share,average_qualifying_ancestry_uncalibrated,any_qualifying_ancestor_share_uncalibrated,primary_qualifying_ancestry_share_uncalibrated
Arkansas,AR,3011524,0.4429887708210089,1334071.315057968,0.014796783796322505,4,6,2,6,8,2,5,0.0,0.0,0.0,0.1506821795210664,0.0,0.0,0.4429887708210089,0.7348228043143298,0.4152762491745543,0.4469748112222788,0.738498789346247,0.4096412062513757
Iowa,IA,3190369,0.3908936941819356,1247095.1242135277,0.013832091821593293,4,6,2,6,8,2,19,0.0,0.0,0.0,0.0413657479746073,0.0,0.0,0.3908936941819356,0.651173904009973,0.3306046125077914,0.3912817398030074,0.653023062538957,0.3322252233534178
Massachusetts,MA,7029917,0.1697956614334703,1193649.4068373973,0.013239301379337516,9,6,-3,11,8,-3,25,0.0,0.0,0.0,0.0702752251555743,0.0,0.0,0.1697956614334703,0.3886657237152287,0.0927487034417727,0.1628056592280321,0.3852899575671853,0.0846298915605846
Oregon,OR,4237256,0.3166321497834817,1341651.4764629565,0.014880858769065601,6,6,0,8,8,0,41,0.0,0.0,0.0,0.0195067279390246,0.0,0.0,0.3166321497834817,0.5855600750938674,0.2392052565707134,0.3282146143525354,0.594102002503129,0.25860450563204
Wisconsin,WI,5893718,0.2254842735653504,1328940.7218290297,0.014739878083787808,8,6,-2,10,8,-2,55,0.0,0.0,0.0,0.0638401769477263,0.0,0.0,0.2254842735653504,0.486143290968395,0.1379934765493195,0.2184015071750049,0.4785738387133056,0.128332021144978
Louisiana,LA,4657757,0.2186288374187784,1018319.997889177,0.011294644202422576,6,5,-1,8,7,-1,22,0.0,0.0,0.0,0.3143193172164198,0.0,0.0,0.2186288374187784,0.5363125311321426,0.1200455418771792,0.218673689767643,0.5310609834199104,0.1196185867786237
Minnesota,MN,5706494,0.1923962567543162,1097908.0847909648,0.012177391399934663,8,5,-3,10,7,-3,27,0.0,0.0,0.0,0.0698211546354031,0.0,0.0,0.1923962567543162,0.4428065284312018,0.1049660219550444,0.1973027487820903,0.4539699134576291,0.1043735842481268
New Mexico,NM,2117522,0.5226409840460655,1106703.7818191927,0.012274948423907544,3,5,2,5,7,2,35,0.0,0.0,0.0,0.0216781691052088,0.0,0.0,0.5226409840460655,0.7337611519799656,0.5045860071998748,0.5217335596948858,0.7309438096728752,0.4938174988261073
South Carolina,SC,5118425,0.1891795105956683,968301.1365206335,0.01073986255840199,7,5,-2,9,7,-2,45,0.0,0.0,0.0,0.250180670811822,0.0,0.0,0.1891795105956683,0.4978566340736903,0.0927151460208508,0.1859858830975705,0.5019750048565693,0.0903321893414492
West Virginia,WV,1793716,0.6220737634899876,1115823.6627522064,0.012376101117088825,2,5,3,4,7,3,54,0.0,0.0,0.0,0.036690869680596,0.0,0.0,0.6220737634899876,0.7956762749445676,0.635439763488544,0.6437441987279425,0.8002586844050259,0.6609386548410938
Utah,UT,3271616,0.2734274534067596,894549.6314048093,0.009921851509416348,4,4,0,6,6,0,49,0.0,0.0,0.0,0.0122441019973004,0.0,0.0,0.2734274534067596,0.5454361260257319,0.1856144260966467,0.2767279076849167,0.5466518083274238,0.1920778036673082
Connecticut,CT,3605944,0.1915105444333693,690576.2986362414,0.00765949171565922,5,3,-2,7,5,-2,9,0.0,0.0,0.0,0.1077873089543265,0.0,0.0,0.1915105444333693,0.4176670649875907,0.112639029322548,0.1883679907246759,0.4135490394337714,0.1098446548395992
Maine,ME,1362359,0.3932985596297141,535813.8323985777,0.005942951732483834,2,3,1,4,5,1,23,0.0,0.0,0.0,0.0189025066080232,0.0,0.0,0.3932985596297141,0.6404379562043796,0.3343552311435523,0.3808862245285888,0.6226277372262774,0.3158150851581509
Mississippi,MS,2961279,0.2249686837863516,666195.0389541634,0.00738906822020911,4,3,-1,6,5,-1,28,0.0,0.0,0.0,0.3662204743288288,0.0,0.0,0.2249686837863516,0.5508171032012537,0.1211327512872173,0.2256492100654364,0.5576449518692634,0.1246921871502126
Nebraska,NE,1961504,0.3372042589874112,661427.502820843,0.007336189336891817,3,3,0,5,5,0,31,0.0,0.0,0.0,0.0492147862048713,0.0,0.0,0.3372042589874112,0.6076715106454883,0.2589050354849611,0.3315670197781133,0.6127069956066239,0.2495775599864819
Nevada,NV,3104614,0.1854876395565882,575867.5225943375,0.006387205189838014,4,3,-1,6,5,-1,32,0.0,0.0,0.0,0.0981568078994683,0.0,0.0,0.1854876395565882,0.4381125226860254,0.098879043450411,0.159856984209859,0.4061065442510942,0.0769723497384434
Delaware,DE,989948,0.3658340520510755,362156.6881598581,0.004016842394112014,1,2,1,3,4,1,10,0.0,0.0,0.0,0.2211217154840456,0.0,0.0,0.3658340520510755,0.6544358888516906,0.3096083026447941,0.3911622810172204,0.6581854703716103,0.3629059256779377
Hawaii,HI,1455271,0.245670482102952,357517.1281604451,0.003965382951542111,2,2,0,4,4,0,15,0.0,0.0,0.0,0.0160911610277398,0.0,0.0,0.245670482102952,0.4968799817809155,0.1707128216807105,0.2438474449691129,0.5001138692780688,0.1626053290822136
Idaho,ID,1839106,0.2050855781306316,377174.11725351337,0.004183407441248017,2,2,0,4,4,0,16,0.0,0.0,0.0,0.008550893749463,0.0,0.0,0.2050855781306316,0.4885564966660659,0.1165255000901063,0.1858167540040998,0.4456658857451793,0.1009190845197332
New Hampshire,NH,1377529,0.2721811098129962,374937.37201958685,0.004158598695823169,2,2,0,4,4,0,33,0.0,0.0,0.0,0.0146109446697673,0.0,0.0,0.2721811098129962,0.5177574590952839,0.1909047160731472,0.2771619956463547,0.5194898941289702,0.1999518768046198
Alaska,AK,733391,0.2180505531059365,159916.31319291587,0.0017737036132268195,1,1,0,3,3,0,2,0.0,0.0,0.0,0.029858561122239,0.0,0.0,0.2180505531059365,0.4734749209218256,0.1365567103479439,0.1715007907817442,0.386353366470854,0.1215544509715318
District of Columbia,DC,689545,0.2523139366736778,173981.81346365117,0.001929710390483808,0,0,0,3,3,0,11,0.0,0.0,0.0,0.4144907148917039,0.0,0.0,0.2523139366736778,0.5388461538461538,0.1718269230769231,0.2680692232572115,0.5620192307692308,0.1769230769230769
Montana,MT,1084225,0.1819203828387725,197242.6270833681,0.0021877065157078555,2,1,-1,4,3,-1,30,0.0,0.0,0.0,0.0050579907307062,0.0,0.0,0.1819203828387725,0.4285539590339345,0.0974014062977682,0.2016171648100733,0.4656068480586976,0.1088352185875878
North Dakota,ND,779094,0.1510689641708315,117696.92357170979,0.001305429411400852,1,1,0,3,3,0,38,0.0,0.0,0.0,0.0343771098224347,0.0,0.0,0.1510689641708315,0.3817949808592088,0.0723947256486601,0.171216204540621,0.4138664398128456,0.0888983411314334
Rhode Island,RI,1097379,0.1598550227933403,175421.545057933,0.0019456790998660324,2,1,-1,4,3,-1,44,0.0,0.0,0.0,0.0566513483491118,0.0,0.0,0.1598550227933403,0.3814557535487768,0.080217456961643,0.1720351550702204,0.3926306251887647,0.094533373603141
South Dakota,SD,886667,0.2281038989485981,202252.19976905663,0.00224326993507339,1,1,0,3,3,0,46,0.0,0.0,0.0,0.0201225488261094,0.0,0.0,0.2281038989485981,0.4982429906542056,0.1429532710280374,0.2174497115946261,0.5162616822429906,0.1226168224299065
Vermont,VT,643077,0.3988333350112757,256480.54457904614,0.002844740849505709,1,1,0,3,3,0,50,0.0,0.0,0.0,0.014048084444009,0.0,0.0,0.3988333350112757,0.651340206185567,0.3341237113402062,0.4193087548324742,0.6726804123711341,0.3685567010309278
Wyoming,WY,576851,0.2842239344805136,163954.86082901875,0.0018184969578914315,1,1,0,3,3,0,56,0.0,0.0,0.0,0.0090699331369799,0.0,0.0,0.2842239344805136,0.55816091954023,0.2040229885057471,0.298132218985722,0.5770114942528736,0.2258620689655172
