scenario,state,abbr,fips,population,foreign_born_share,second_generation_proxy,third_plus_proxy,black_alone_share,old_stock_factor,fertility_factor,average_qualifying_ancestry,any_qualifying_ancestor_share,primary_qualifying_ancestry_share,average_qualifying_ancestry_uncalibrated,any_qualifying_ancestor_share_uncalibrated,primary_qualifying_ancestry_share_uncalibrated
central,Maine,ME,23,1362359,0.04,0.05130961026039921,0.9086903897396008,0.02,1.16,0.92,0.8210822207027054,1.0,0.7440141353252242,0.6664603758169004,0.8744678523779366,0.6057684915678394
central,Maryland,MD,24,6177224,0.155,0.1324307719588828,0.7125692280411171,0.29,0.78,0.96,0.2730944584374995,0.43892481585631427,0.2404285492320888,0.22166675981365472,0.29886715965540106,0.19575439858343874
central,Massachusetts,MA,25,7029917,0.18,0.14704405663643205,0.672955943363568,0.075,0.9,0.89,0.43724545072891147,0.7023274764761802,0.3851988260288431,0.3549057086726664,0.47821998314876524,0.3136248368388814
central,Michigan,MI,26,10077331,0.07,0.0759146073202896,0.8540853926797103,0.135,0.95,0.94,0.5508631841500786,0.8674172038033101,0.49569186574825586,0.4471275537036436,0.5906308018405382,0.40358710881952886
central,Minnesota,MN,27,5706494,0.09,0.0905162344217584,0.8194837655782417,0.07,0.95,0.98,0.5821563827611783,0.9196957733396918,0.5220572257629474,0.47252778327994294,0.6262276672346802,0.42505350792061763
central,Mississippi,MS,28,2961279,0.025,0.03692450891010967,0.9380754910898903,0.37,0.85,1.04,0.394886510457687,0.6151022401207497,0.3593429013377535,0.3205235791604656,0.41882767335429605,0.2925732146255931
central,Missouri,MO,29,6154913,0.045,0.05571927816268332,0.8992807218373167,0.115,1.05,0.99,0.6691759708166007,1.0,0.6053344553553942,0.5431603044776554,0.7138607447090141,0.49285695325450746
central,Montana,MT,30,1084225,0.025,0.03692450891010967,0.9380754910898903,0.006,0.76,1.02,0.5762594062835816,0.8972456668643317,0.5246147299966364,0.4677412941070571,0.6109412233748993,0.42713580099579274
central,Nebraska,NE,31,1961504,0.075,0.07967087855349178,0.8453291214465083,0.05,0.95,1.04,0.6252018770595057,0.9849814240278844,0.5622825188398872,0.5074671786096036,0.6706811505707012,0.45780451889360224
central,Nevada,NV,32,3104614,0.19,0.1527158953016158,0.6572841046983843,0.09,0.46,0.98,0.21776502093994013,0.35064053134920287,0.19133337059752223,0.1767566682557075,0.23875373612664996,0.1557816199860067
central,New Hampshire,NH,33,1377529,0.065,0.07207689535706756,0.8629231046429325,0.018,1.15,0.9,0.7739314073633659,1.0,0.6974312623740323,0.6281887533339351,0.8286486281040975,0.5678412058608213
central,New Jersey,NJ,34,9288994,0.235,0.17721652874513483,0.5877834712548652,0.13,0.72,0.95,0.2766747771798617,0.4510080139371997,0.23980004627948084,0.22457285193745793,0.3070946987680905,0.19524267808315438
central,New Mexico,NM,35,2117522,0.095,0.09400766066477574,0.8109923393352243,0.02,0.52,1.02,0.33988211685476,0.537248660774335,0.3046150951040113,0.27587732095648904,0.36581659426350643,0.24801440981936532
central,New York,NY,36,20201249,0.225,0.17190340716345587,0.6030965928365442,0.155,0.78,0.92,0.29058797729677177,0.4730256926667626,0.2522545207224725,0.2358659920699965,0.322086699371364,0.2053829803145137
central,North Carolina,NC,37,10439388,0.085,0.08696609506546628,0.8280339049345338,0.205,0.9,1.0,0.4608144816560936,0.7280379852449084,0.41321868138692497,0.37403634481763953,0.4957264590904684,0.3364383086646483
central,North Dakota,ND,38,779094,0.045,0.05571927816268332,0.8992807218373167,0.035,0.82,1.08,0.5884608175284651,0.9217804073990871,0.5324151121875622,0.47764500036049695,0.6276471100133639,0.4334867902164267
central,Ohio,OH,39,11799448,0.05,0.059984041693027505,0.8900159583069724,0.12,1.04,0.97,0.6482085435136885,1.0,0.585668350746062,0.5261413517736825,0.6922900077557785,0.4768450175148686
central,Oklahoma,OK,40,3959353,0.06,0.06814948796887144,0.8718505120311285,0.07,0.86,1.06,0.5717528032681011,0.8983897420025994,0.5156370145847526,0.46408335064704126,0.6117202326144187,0.41982623943698594
central,Oregon,OR,41,4237256,0.1,0.09744436321658786,0.8025556367834121,0.02,0.72,0.92,0.45413669937797674,0.7184603186279431,0.406649679317919,0.3686160870474879,0.4892049549181552,0.33108989620107554
central,Pennsylvania,PA,42,13002700,0.075,0.07967087855349178,0.8453291214465083,0.11,1.04,0.94,0.6171907135823286,0.9726401053643898,0.5549103501897193,0.5009646349092166,0.6622778552405775,0.45180217663858074
central,Rhode Island,RI,44,1097379,0.145,0.12639046843988785,0.7286095315601121,0.055,0.86,0.9,0.4684214820576265,0.7471403918165868,0.4158082091998295,0.38021083528718846,0.508733429278568,0.33854667500154656
central,South Carolina,SC,45,5118425,0.055,0.06412252337581774,0.8808774766241823,0.26,0.86,1.0,0.43620603654718737,0.6852507073163042,0.393486750594134,0.35406203145165877,0.4665922844848241,0.32037277793807806
central,South Dakota,SD,46,886667,0.04,0.05130961026039921,0.9086903897396008,0.025,0.78,1.08,0.5714594249989278,0.8938362040199798,0.5178171504020687,0.463845219816048,0.6086196948592374,0.42160128311258926
central,Tennessee,TN,47,6910840,0.055,0.06412252337581774,0.8808774766241823,0.165,1.04,1.0,0.6079615516335047,0.9546797737780955,0.5486530461230675,0.493473459743319,0.6500485323730772,0.4467075454134897
central,Texas,TX,48,29145505,0.17,0.14127683823733833,0.6887231617626617,0.12,0.68,1.08,0.32943181426210383,0.5286293811602707,0.2905303612299933,0.2673949638700801,0.3599476629033475,0.23654676748852602
