state,abbr,population,qualifying_share,counted_population,counted_population_share_of_us,actual_house_2024,hypothetical_house,house_change,actual_ev_2024,hypothetical_ev,ev_change,fips,foreign_born_share,second_generation_proxy,third_plus_proxy,black_alone_share,old_stock_factor,fertility_factor,average_qualifying_ancestry,any_qualifying_ancestor_share,primary_qualifying_ancestry_share,average_qualifying_ancestry_uncalibrated,any_qualifying_ancestor_share_uncalibrated,primary_qualifying_ancestry_share_uncalibrated
Maine,ME,1362359,0.4547174912138416,619488.466612598,0.005452724940150879,2,2,0,4,4,0,23,0.0,0.0,0.0,0.0189025066080232,0.0,0.0,0.4904558770106786,0.6980264936469315,0.4547174912138416,0.4728075261050284,0.6901865369018654,0.4412003244120032
Nevada,NV,3104614,0.1404507710557532,436045.4301304862,0.0038380630472628196,4,2,-2,6,4,-2,32,0.0,0.0,0.0,0.0981568078994683,0.0,0.0,0.2182753883081257,0.4466192170818505,0.1404507710557532,0.207852118549822,0.4145907473309608,0.1185053380782918
New Hampshire,NH,1377529,0.3405506549051056,469118.4031007752,0.004129170685708664,2,2,0,4,4,0,33,0.0,0.0,0.0,0.0146109446697673,0.0,0.0,0.3919386508088161,0.6212242715851377,0.3405506549051056,0.444353949478749,0.681635926222935,0.4041700080192462
Alaska,AK,733391,0.2354417670682731,172670.8729919679,0.001519845527955114,1,1,0,3,3,0,2,0.0,0.0,0.0,0.029858561122239,0.0,0.0,0.3281833388240462,0.6094377510040161,0.2354417670682731,0.3671911768166415,0.6716867469879518,0.2786144578313253
District of Columbia,DC,689545,0.3055555555555555,210694.30555555553,0.0018545270115076975,0,0,0,3,3,0,11,0.0,0.0,0.0,0.4144907148917039,0.0,0.0,0.3804271078517294,0.6698717948717948,0.3055555555555555,0.3700209397536058,0.6506410256410257,0.2980769230769231
Montana,MT,1084225,0.182466870540265,197835.14271151883,0.0017413409205179052,2,1,-1,4,3,-1,30,0.0,0.0,0.0,0.0050579907307062,0.0,0.0,0.2760239969578236,0.5586136595310908,0.182466870540265,0.2972007697024719,0.6075433231396534,0.1916411824668705
North Dakota,ND,779094,0.1300236406619385,101300.63829787231,0.0008916461672327421,1,1,0,3,3,0,38,0.0,0.0,0.0,0.0343771098224347,0.0,0.0,0.2226897255466903,0.4808510638297872,0.1300236406619385,0.2238980773492908,0.4624113475177305,0.1375886524822695
Rhode Island,RI,1097379,0.134944612286002,148085.38368580057,0.0013034445488721807,2,1,-1,4,3,-1,44,0.0,0.0,0.0,0.0566513483491118,0.0,0.0,0.2147694178258224,0.4219536757301108,0.134944612286002,0.21912198868643,0.4491440080563947,0.1419939577039275
South Dakota,SD,886667,0.2220838522208385,196914.42299709423,0.0017332367642336347,1,1,0,3,3,0,46,0.0,0.0,0.0,0.0201225488261094,0.0,0.0,0.3017439282054275,0.5915317559153176,0.2220838522208385,0.2260918528175591,0.5080946450809465,0.1581569115815691
Vermont,VT,643077,0.4719358533791524,303491.09278350516,0.002671322453803064,1,1,0,3,3,0,50,0.0,0.0,0.0,0.014048084444009,0.0,0.0,0.5041403229703608,0.7016036655211914,0.4719358533791524,0.4611145229274055,0.6185567010309279,0.4261168384879725
Wyoming,WY,576851,0.2994891443167305,172760.6123882503,0.0015206354123042107,1,1,0,3,3,0,56,0.0,0.0,0.0,0.0090699331369799,0.0,0.0,0.3577221399066092,0.6162196679438058,0.2994891443167305,0.3174871101233237,0.5938697318007663,0.2126436781609195
