Argentina,country,America,,0,0,0,0,7,58,64,36,0,0,0,1397,3108,16346,49384,30303,23442,30065,47955,4312,4335,4218,4227,3757,3542,3783,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Bolivia,country,America,,0,0,0,0,0,5,0,0,0,0,0,77,893,2759,6205,5635,9798,18111,21921,2211,2113,1920,2005,1663,1549,1481,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Brazil,country,America,,0,0,0,0,32,219,199,92,0,0,4627,1468,3653,11547,29238,18600,22944,50744,115404,12057,11643,11248,10772,10246,11247,13528,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Chile,country,America,,0,0,0,0,25,92,44,66,0,0,0,568,1320,4669,12384,15032,19749,18200,19792,1940,1854,1628,1751,1591,1620,1711,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Colombia,country,America,,0,0,0,0,2,196,1210,607,0,0,0,1278,3454,15567,68371,71265,105494,137985,236570,21861,22130,20272,20611,17614,16509,16830,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Ecuador,country,America,,0,0,0,0,0,7,14,33,0,0,0,320,2207,8574,34107,47464,48015,81358,107977,11463,11068,9284,10553,10871,9816,10779,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Guyana,country,America,,0,0,0,0,41,95,68,27,0,0,0,193,596,1131,4546,38278,85886,74407,70373,6441,6288,5282,5564,6031,5313,4909,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Paraguay,country,America,,0,0,0,0,0,2,0,0,0,0,0,36,85,576,1249,1486,3518,6082,4623,449,501,454,437,363,353,400,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Peru,country,America,,0,0,0,0,35,127,25,79,0,0,0,460,1273,5980,19783,25311,49958,110117,137614,14063,13836,12414,12370,10450,9973,10519,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Suriname,country,America,,0,0,0,0,0,0,0,0,0,0,0,33,130,299,612,714,1357,2285,2363,202,167,216,170,160,116,130,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Uruguay,country,America,,0,0,0,0,0,22,4,144,0,0,0,153,754,1026,4089,8416,7235,6062,9827,1286,1521,1348,1314,1098,1023,911,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
Venezuela,country,America,,0,0,0,0,36,190,248,0,0,0,0,1360,2182,9927,20758,11007,22405,35180,82087,9497,9229,9464,9512,8289,8985,10590,"DHS/OHSS Yearbook of Immigration Statistics 2016, Table 2 (pp. 6-11)",https://ohss.dhs.gov/sites/default/files/2023-12/2016%2520Yearbook%2520of%2520Immigration%2520Statistics.pdf
